buy_date,swing_high,swing_low,buy_price,sell_price,sell_date,returns,holding_period,stock
2014-03-03,955.3499755859375,823.0845336914062,924.6,955.2,2014-05-06,3.31,64.0,APOLLOHOSP
2014-08-04,1132.3499755859375,926.8666381835938,1005.75,1139.28,2014-08-14,13.28,10.0,APOLLOHOSP
2014-09-17,1143.699951171875,988.75537109375,1122.74,1142.21,2014-11-05,1.73,49.0,APOLLOHOSP
2014-12-18,1185.800048828125,1147.7325439453125,1154.74,1196.98,2015-01-19,3.66,32.0,APOLLOHOSP
2015-04-20,1322.58,1100.6444091796875,1322.58,1313.4,2015-05-21,-0.69,31.0,APOLLOHOSP
2015-08-24,1410.6500244140625,1218.3548583984375,1256.25,1417.58,2015-09-11,12.84,18.0,APOLLOHOSP
2015-10-28,1379.3499755859375,1214.1746826171875,1378.86,1381.06,2015-12-03,0.16,36.0,APOLLOHOSP
2016-01-12,1498.4000244140625,1323.4891357421875,1367.15,1499.37,2016-02-02,9.67,21.0,APOLLOHOSP
2016-02-15,1497.8499755859375,1432.12,1432.12,1481.56,2016-03-03,3.45,17.0,APOLLOHOSP
2016-03-16,1362.28,1263.3291015625,1362.28,1361.06,2016-05-25,-0.09,70.0,APOLLOHOSP
2016-06-15,1370.199951171875,1264.256591796875,1338.66,1368.12,2016-07-11,2.2,26.0,APOLLOHOSP
2016-08-30,1378.1500244140625,1248.5869140625,1345.9,1383.05,2016-10-19,2.76,50.0,APOLLOHOSP
2016-11-03,1306.4,1099.31103515625,1306.4,1214.4,2017-01-30,-7.04,88.0,APOLLOHOSP
2017-03-22,1217.4000244140625,1118.055908203125,1187.91,1238.73,2017-04-27,4.28,36.0,APOLLOHOSP
2017-05-26,1307.9000244140625,1179.02587890625,1221.07,1301.96,2017-06-08,6.62,13.0,APOLLOHOSP
2017-07-10,1292.75,1201.676025390625,1248.21,1291.51,2017-07-27,3.47,17.0,APOLLOHOSP
2017-08-10,1218.06,967.868408203125,1218.06,1104.45,2017-11-22,-9.33,104.0,APOLLOHOSP
2018-01-17,1218.550048828125,1090.4287109375,1145.7,1203.9,2018-02-02,5.08,16.0,APOLLOHOSP
2018-02-07,1165.5,1120.9093017578125,1165.5,1146.24,2018-02-19,-1.65,12.0,APOLLOHOSP
2018-03-14,1122.0,986.6181030273438,1093.14,1122.86,2018-04-20,2.72,37.0,APOLLOHOSP
2018-05-10,1047.21,910.0977172851562,1047.21,1037.49,2018-06-18,-0.93,39.0,APOLLOHOSP
2018-07-16,1068.5999755859375,914.367919921875,981.88,1056.69,2018-08-14,7.62,29.0,APOLLOHOSP
2018-09-21,1121.1500244140625,1029.7442626953125,1083.39,1119.97,2018-10-12,3.38,21.0,APOLLOHOSP
2019-02-11,1306.5,1101.3358154296875,1306.5,1262.65,2019-04-02,-3.36,50.0,APOLLOHOSP
2019-05-03,1203.0,1120.66357421875,1200.52,1203.55,2019-05-31,0.25,28.0,APOLLOHOSP
2019-07-09,1383.800048828125,1309.77,1309.77,1373.1,2019-07-18,4.84,9.0,APOLLOHOSP
2019-08-05,1360.199951171875,1310.22,1310.22,1358.17,2019-08-16,3.66,11.0,APOLLOHOSP
2019-09-18,1507.8499755859375,1365.414794921875,1424.08,1494.49,2019-10-22,4.94,34.0,APOLLOHOSP
2019-11-14,1483.199951171875,1400.97,1400.97,1472.5,2019-12-06,5.11,22.0,APOLLOHOSP
2019-12-11,1511.949951171875,1339.57373046875,1386.9,1512.1,2020-01-16,9.03,36.0,APOLLOHOSP
2020-03-11,1637.14,1129.7896728515625,1637.14,1348.22,2020-06-04,-17.65,85.0,APOLLOHOSP
2020-09-08,1777.0999755859375,1593.3896484375,1668.25,1768.21,2020-09-18,5.99,10.0,APOLLOHOSP
2020-11-11,2265.800048828125,2073.31,2073.31,2272.58,2020-11-17,9.61,6.0,APOLLOHOSP
2021-03-26,3097.800048828125,2854.2,2854.2,3119.13,2021-04-08,9.28,13.0,APOLLOHOSP
2021-09-28,4602.9,4004.60791015625,4602.9,4416.41,2021-11-08,-4.05,41.0,APOLLOHOSP
